The error bounds below reflect the maximum errors observed during 
extensive testing. These are not guaranteed bounds.

order  ulps*   rel. error
-------------------------
    0      3      4.0e-16
    1      4      5.3e-16
    2      6      9.2e-16
    3     10      1.6e-15
    4      9      1.1e-15
    5      7      9.1e-16
    6      8      1.0e-15
    7      8      1.1e-15
    8      9      1.1e-15
    9      9      1.4e-15
   10     11      1.5e-15
   11     10      1.4e-15
   12     12      1.5e-15
   13     11      1.4e-15
   14     10      1.2e-15
   15     10      1.5e-15
   16     10      1.2e-15
   17     10      1.4e-15
   18     11      1.3e-15
   19     11      1.4e-15
   20     11      1.5e-15
   21     12      1.6e-15
   22     12      1.4e-15
   23     12      1.6e-15
   24     12      1.5e-15
   25     12      1.5e-15
   26     13      1.5e-15
   27     12      1.5e-15
   28     12      1.7e-15
   29     11      1.4e-15
   30     13      1.5e-15
   31     13      1.5e-15
   32     12      1.5e-15
   33     13      1.7e-15
   34     12      1.5e-15
   35     11      1.4e-15
   36     11      1.5e-15
   37     11      1.6e-15
   38     11      1.7e-15
   39     13      1.6e-15
   40     12      1.6e-15
   41     13      1.6e-15
   42     11      1.4e-15
   43     12      1.6e-15
   44     14      2.0e-15
   45     12      1.6e-15
   46     13      2.0e-15
   47     13      1.7e-15
   48     12      1.6e-15
   49     13      1.6e-15
   50     14      1.7e-15
------------------------------
* maximum difference to correctly rounded double precision result
